Design Date: 0 Spring 800

CV Hestia-Class Carrier
Mass: 5400KT
Armor Thickness: 16
Crew: 1555
Spare Berths: 2645

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Life Support: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Crew Quarters: 100%

Engine F: 100%

Engine F: 100%

Engine F: 100%

Engine F: 100%

Engine F: 100%

Engine F: 100%

Engine F: 100%

Engine F: 100%

Test: 100%

Test: 100%

Test: 100%

Test: 100%

Test-B: 100%

Test-B: 100%

Bridge: 100%

