Name:	Manuevering Thruster
Category:	DEFAULT
DesignedComponents:	System.Collections.Generic.List`1[ShipComponents]
UsedID:	System.Collections.Generic.List`1[System.Int32]
IDComp:	System.Collections.Generic.Dictionary`2[System.Int32,ShipComponents]
Obsolete:	False
Mass:	25
Enabled:	True
toggleable:	False
PassiveSig:	0
CrewRequired:	10
Cost:	System.Collections.Generic.Dictionary`2[RawResources,System.Single]
quarters:	0
lifeSupport:	0
powerReq:	0
control:	False
flagControl:	False
HTK:	1
isEngine:	True
Thrust:	0
TurnThrust:	25
FuelConsumption:	0
EngineType:	0
