Name:	Small Life Support
Category:	REQUIRED
DesignedComponents:	System.Collections.Generic.List`1[ShipComponents]
UsedID:	System.Collections.Generic.List`1[System.Int32]
IDComp:	System.Collections.Generic.Dictionary`2[System.Int32,ShipComponents]
Obsolete:	False
Mass:	10
Enabled:	True
toggleable:	False
PassiveSig:	0
CrewRequired:	0
Cost:	System.Collections.Generic.Dictionary`2[RawResources,System.Single]
quarters:	0
lifeSupport:	50
powerReq:	0
control:	False
flagControl:	False
HTK:	1
isEngine:	False
Thrust:	0
TurnThrust:	0
FuelConsumption:	0
EngineType:	0
